deng4	邓凳瞪澄蹬磴镫嶝
di1	提低滴堤嘀氐镝羝
di2	敌笛的迪涤嘀狄嫡翟荻籴觌镝
di3	底抵诋邸砥坻柢氐骶
di4	的地第帝弟递蒂缔谛睇棣娣碲绨
dia3	嗲
dian1	颠滇掂癫巅
dian3	点典碘踮丶點
dian4	电店甸淀垫殿奠惦佃玷簟坫靛钿癜阽
diao1	雕刁凋叼貂碉鲷
diao3	鸟屌
diao4	调掉吊钓铫铞調
die1	爹跌踮
die2	叠迭碟谍蝶喋佚牒耋蹀堞瓞揲垤鲽
ding1	丁盯钉叮町酊疔仃耵玎
ding3	顶鼎酊
ding4	定订钉铤腚锭碇啶
diu1	丢铥丟
dong1	东冬咚岽氡鸫
dong3	懂董硐
dong4	动洞冻栋恫侗垌峒胨胴硐動
dou1	都兜蔸篼督嘟
dou3	斗抖陡蚪
dou4	读斗豆逗窦痘
du1	都督嘟
du2	读独顿毒渎牍犊黩髑椟
du3	肚睹堵赌笃
du4	度渡肚杜妒镀芏蠹
duan1	端
duan3	短
duan4	断段锻缎煅椴簖
dui1	堆
dui4	对队兑敦碓憝怼镦對
dun1	吨敦蹲墩礅镦
dun3	盹趸
dun4	顿盾钝炖遁沌囤砘
duo1	多咄哆掇裰
duo2	度夺踱铎掇
duo3	朵躲垛哚缍
duo4	舵堕跺剁惰垛驮沲柁
e1	阿婀屙
e2	额俄哦鹅娥峨蛾讹莪锇
e3	恶
e4	恶饿扼愕遏噩呃厄鄂轭颚鳄谔锷萼腭垩鹗苊阏惡
e5	呃
ei2	诶
ei3	诶
ei4	诶
en1	恩蒽
en4	摁嗯
er2	而儿鸸鲕洱耳
er3	尔耳迩饵洱珥铒
er4	二贰佴
fa1	发
fa2	罚乏伐阀筏垡
fa3	法砝
fa4	发珐
fan1	翻番帆藩幡蕃
fan2	凡烦繁泛樊蕃燔矾蘩钒蹯
fan3	反返
fan4	饭犯范贩泛梵畈飯
fang1	方芳妨坊邡枋钫
fang2	房防妨坊肪鲂
fang3	访仿纺彷舫紡
fang4	放
fei1	非飞啡菲扉霏妃绯蜚鲱
fei2	肥腓淝
fei3	菲匪诽斐蜚翡悱篚榧
fei4	费废沸肺吠痱狒镄芾砩
fen1	分纷氛芬吩酚玢
fen2	坟焚汾棼鼢
fen3	粉
fen4	分份奋愤粪忿偾瀵鲼
feng1	风封丰峰疯锋蜂枫烽酆葑沣砜讽鋒
feng2	逢缝冯
feng3	讽唪
feng4	奉缝凤俸葑鳳
fo2	佛
fou3	否缶
fu1	夫肤敷孵呋稃麸趺跗芙
fu2	夫服福佛幅伏符浮扶弗拂袱俘芙孚匐辐涪氟桴蜉苻茯莩菔幞怫艴郛绂绋凫祓砩黻罘稃蚨芾蝠抚缚
fu3	府父腐抚辅甫俯斧脯釜腑拊滏黼符莆
fu4	服复父负副富付妇附赴腹覆赋傅缚咐阜讣驸赙馥蝮鲋鳆負
fu5	咐服袱夫腐复
ga1	咖嘎胳伽旮
ga2	嘎噶轧尜钆
ga3	嘎尕
ga4	尬
gai1	该赅垓陔
gai3	改
gai4	概盖丐钙芥溉戤
